brand,category,sku,spu,product
G2G,粉饼,G2G-800,絲絨粉餅,G2G有色丝绒粉饼00色号
SKT,精华,SKINTIFIC-04,烟酰胺精华,烟酰胺精华
SKT,面霜,SKINTIFIC-17102N,有色面霜,有色面霜02N
SKT,防晒,SKINTIFIC-191,5X防晒霜,5X防晒霜
SKT,唇部精华,SKINTIFIC-123,唇部精华,唇部精华
SKT,洁面,SKINTIFIC-305,积雪草卸妆油,积雪草卸妆油
TP,唇部,TCC102007,黑管染唇液,染唇液07
SKT,面霜,SKINTIFIC-17101W,有色面霜,有色面霜01W
G2G,面霜,g2g-29,紅石榴面霜,美白面霜30g
G2G,唇部精华,G2G-27502,潤色護唇膏,有色润唇膏02色
SKT,面霜,SKINTIFIC-20,GEL面霜,GEL面霜 45g
G2G,气垫,G2G-233N,完美氣墊粉底完美小粉盒,高遮瑕气垫03N色号
TP,唇部,TCC102011,黑管染唇液,染唇液11
SKT,洁面,SKINTIFIC-129,三酸洁面,三酸洁面
SKT,气垫,SKINTIFIC-260W,無暇金氣墊,金色气垫00W
G2G,粉饼,G2G-1941,二合一粉底,二合一气垫粉饼01色
SKT,唇部精华,SKINTIFIC-1234,唇部精华,莓粉唇部精华
SKT,气垫,SKINTIFIC-262N,無暇金氣墊,金色气垫02N
G2G,面霜,G2G-215,VC保濕霜,完美VC面霜30g
SKT,面霜,SKINTIFIC-183,视黄醇面霜,视黄醇面霜
SKT,气垫,SKINTIFIC-261W,無暇金氣墊,金色气垫01W
G2G,精华,g2g-05,紅石榴保湿精華,红石榴美白精华17ml
SKT,气垫,SKINTIFIC-1340W,柔霧控油藍氣墊,哑光气垫00W
G2G,面霜,G2G-248,紅石榴面霜,烟酰胺美白面霜100g
G2G,面霜,G2G-35,377柚子保濕霜,377淡斑面霜30g
SKT,气垫,SKINTIFIC-1342W,柔霧控油藍氣墊,哑光气垫02W
SKT,气垫,SKINTIFIC-271,無暇金氣墊替換芯,金色气垫01-替
SKT,气垫,SKINTIFIC-3262W,水光粉气垫,無瑕水光粉氣墊 02W暖調象牙色
G2G,粉饼,G2G-1940,二合一粉底,二合一气垫粉饼00色
G2G,爽肤水,G2G-257,甘醇酸爽膚水,7%乙醇酸精华爽肤水100ml
G2G,泥膜,g2g-27,火山泥膜棒,火山泥固体泥膜25g
SKT,气垫,SKINTIFIC-1341W,柔霧控油藍氣墊,哑光气垫01W
SKT,精华,SKINTIFIC-180,视黄醇精华,视黄醇精华
G2G,面霜,G2G-40,积雪草保湿凝露55g,镇静舒缓啫喱55g
SKT,爽肤水,SKINTIFIC-388,PDRN精華噴霧,美白水油喷雾
G2G,爽肤水,G2G-102,積雪草化妝水,积雪草爽肤水80ml
SKT,面霜,SKINTIFIC-114,三酸祛痘面霜,三酸祛痘面霜
SKT,其他/赠品,SKINTIFIC-23,磨皮棉片,磨皮棉片
G2G,粉饼,G2G-1942,二合一粉底,二合一气垫粉饼02色
TP,唇部,TCC102006,黑管染唇液,染唇液06
G2G,卸妆油,G2G-202,積雪草卸妝油,积雪草卸妆油200ML
SKT,其他/赠品,SKINTIFIC-18,烟酰胺化妝水,烟酰胺水80ml
SKT,唇部精华,SKINTIFIC-1236,唇部精华,樱桃红唇部精华
TP,唇部,TCC102009,黑管染唇液,染唇液09
SKT,面霜,SKINTIFIC-30,5X面霜,5X面霜-80g
G2G,洗面奶,G2G-72,祛痘洁面啫喱70ml,祛痘洁面啫喱70ml
G2G,气垫,G2G-234N,完美氣墊粉底完美小粉盒,高遮瑕气垫04N色号
G2G,定妆喷雾,G2G-243,半啞光定妝噴霧,定妆喷雾100ml
G2G,粉饼,G2G-803,絲絨粉餅,G2G有色丝绒粉饼03色号
G2G,唇部精华,G2G-211嘟嘟唇系列,嘟嘟唇部精華,【GLAD2GLOW】嘟嘟水潤護唇精華 7g (多色可選)
SKT,其他/赠品,SKINTIFIC-120,祛痘凝胶,祛痘凝胶
SKT,精华,SKINTIFIC-225,红色磨皮精华,红色磨皮精华
G2G,精华,G2G-26,377柚子精華,GLAD2GLOW淨透377柚光精華17ml
SKT,气垫,SKINTIFIC-262W,無暇金氣墊,金色气垫02W
SKT,气垫,SKINTIFIC-261,無暇金氣墊,金色气垫01
TP,面部,TQD11301N,水光气垫,水光气垫01N
SKT,洁面,SKINTIFIC-92,GEL洗面奶,GEL洗面奶120ml
SKT,面霜,SKINTIFIC-09,电动眼霜,电动眼霜
G2G,面霜,G2G-82,奇异果面霜,祛痘面霜30g
SKT,气垫,SKINTIFIC-1891,柔霧控油藍氣墊替換芯,哑光蓝色气垫替换芯-01 11g
TP,唇部,TCC108001,3D水光嘟嘟,3D嘟嘟唇彩 001
SKT,防晒,SKINTIFIC-195,水感防晒乳,水感防晒乳
G2G,泥膜,g2g-31,艾草泥膜棒,艾草祛痘固体泥膜25g
TP,唇部,TCC138005,琉璃亮面唇漆,亮面唇漆 005
G2G,痘痘护理,G2G-39,水楊酸棉片,水杨酸祛痘棉片30片
