"brand","month","sku","product","quantity","channel"
"G2G","2025-09","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","256","POYA"
"G2G","2025-09","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","276","POYA"
"G2G","2025-09","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","241","POYA"
"G2G","2025-09","G2G-26","GLAD2GLOW淨透377柚光精華17ml","76","POYA"
"G2G","2025-09","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","601","POYA"
"G2G","2025-09","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","1410","POYA"
"G2G","2025-09","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","549","POYA"
"G2G","2025-09","G2G-34","GLAD2GLOW藍莓潔面乳70ml","36","POYA"
"G2G","2025-09","G2G-35","GLAD2GLOW 377淨透煥采面霜30g","74","POYA"
"G2G","2025-09","G2G-38","GLAD2GLOW舒緩保濕凝露30g","34","POYA"
"G2G","2025-09","G2G-40","GLAD2GLOW舒緩保濕凝露55g","89","POYA"
"G2G","2025-09","G2G-42","GLAD2GLOW櫻花卸妝水300ml","366","POYA"
"G2G","2025-09","G2G-43","GLAD2GLOW牛奶潔面乳80g","288","POYA"
"G2G","2025-09","G2G-45","GLAD2GLOW紅石榴淨化透亮泥膜棒25g","369","POYA"
"G2G","2025-09","G2G-51","GLAD2GLOW視黃醇精華17ml","669","POYA"
"G2G","2025-09","G2G-72","GLAD2GLOW積雪草淨化調理潔面凝露70ml","53","POYA"
"G2G","2025-09","G2G-800","GLAD2GLOW絲絨粉餅8.5g-00","233","POYA"
"G2G","2025-09","G2G-801","GLAD2GLOW絲絨粉餅8.5g-01","276","POYA"
"G2G","2025-09","G2G-802","GLAD2GLOW絲絨粉餅8.5g-02","332","POYA"
"G2G","2025-09","G2G-803","GLAD2GLOW絲絨粉餅8.5g-03","224","POYA"
"G2G","2025-09","G2G-82","GLAD2GLOW淨化調理面霜30g","72","POYA"
"G2G","2025-09","G2G-83","GLAD2GLOW視黃醇面霜30g","385","POYA"
"G2G","2025-10","G2G-05","GLAD2GLOW紅石榴透亮精華17ml","2707","POYA"
"G2G","2025-10","G2G-07","GLAD2GLOW藍莓保濕面霜30g","794","POYA"
"G2G","2025-10","G2G-102","GLAD2GLOW積雪草化妝水80ml","319","POYA"
"G2G","2025-10","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","2398","POYA"
"G2G","2025-10","G2G-202","GLAD2GLOW 積雪草卸妝油200ml","19","Watsons"
"G2G","2025-10","G2G-208","GLAD2GLOW 亮顏霜30ml","2","Watsons"
"G2G","2025-10","G2G-212","GLAD2GLOW 完美VC洗面乳80g","9","Watsons"
"G2G","2025-10","G2G-214","GLAD2GLOW 完美VC精華17ml","25","Watsons"
"G2G","2025-10","G2G-215","GLAD2GLOW 完美VC保濕霜30g","17","Watsons"
